date,ticker,am_return,14:30,14:45,15:00,15:15,15:30,15:45
2025-05-19,NVDA,-0.015155,0.005830,0.008822,0.010816,0.009282,0.012811,0.012811
2025-05-23,MSFT,-0.005447,0.000754,-0.008736,-0.008181,-0.009135,-0.007649,-0.007804
2025-05-23,META,0.000346,-0.003034,-0.013929,-0.021806,-0.024306,-0.022136,-0.023268
2025-05-30,PLTR,-0.010767,0.006219,0.005892,0.006874,0.001800,0.006383,0.006056
2025-05-30,MSFT,-0.005786,0.001537,0.001384,0.001449,0.000857,0.002723,0.002394
2025-06-12,MSFT,-0.007507,0.003920,0.004474,0.004773,0.006882,0.007223,0.007265
2025-06-12,PLTR,-0.005865,-0.002212,-0.002065,-0.003909,-0.001770,-0.000074,0.001475
2025-06-13,TSLA,-0.021378,0.011406,0.017817,0.013178,0.013371,0.014338,0.012372
2025-06-13,AMZN,-0.021334,0.001825,0.004897,0.007394,0.009027,0.009747,0.006722
2025-08-01,AMZN,-0.016004,0.001580,-0.001208,0.000697,0.000000,0.003717,0.003996
2025-08-01,GOOGL,-0.014957,0.000586,0.001918,0.001918,0.001971,0.000213,0.002451
2025-08-14,AAPL,-0.005557,0.004434,0.006543,0.005725,0.006113,0.000646,0.000000
2025-08-14,MSFT,-0.003762,0.000732,0.000732,0.000636,0.001137,-0.002408,-0.001734
2025-08-20,SNOW,-0.028794,0.028814,0.027668,0.029231,0.025844,0.027511,0.028970
2025-08-20,C,-0.011868,0.004004,0.006817,0.014161,0.014161,0.010988,0.013833
2025-09-02,COST,0.000186,0.003318,0.003703,0.003532,0.003479,0.002838,0.002635
2025-09-02,JPM,0.000717,-0.003090,-0.003090,-0.001612,-0.003258,-0.002251,-0.004837
2025-09-25,AAPL,-0.006337,0.003664,0.004181,0.003823,0.002429,0.000956,0.003703
2025-09-25,GOOGL,-0.005578,-0.005080,-0.005893,-0.006137,-0.007478,-0.009064,-0.010486
2025-10-13,AVGO,-0.047060,-0.007183,-0.005484,-0.004500,0.000060,0.000060,-0.003249
2025-10-13,TSM,-0.013202,-0.001942,-0.001022,-0.001806,-0.001022,0.000000,-0.000852
2025-10-14,AMD,-0.035128,0.004823,0.005721,0.035839,0.055934,0.049078,0.041371
2025-10-14,TSLA,-0.021681,0.000541,0.001598,0.000823,0.000517,0.000541,0.000306
2025-10-17,MARA,-0.026571,0.042520,0.044619,0.035696,0.042520,0.044094,0.044619
2025-10-17,PLTR,-0.026217,0.015310,0.018892,0.020278,0.024611,0.024843,0.022994
2025-10-30,V,-0.003136,0.000383,0.001501,0.000736,-0.000441,-0.002531,0.001089
2025-10-30,AAPL,-0.001292,0.000775,0.002213,0.001438,0.000074,-0.000516,-0.001623
2025-11-04,NVDA,-0.020678,0.004797,0.003758,0.004599,0.002077,-0.000841,0.000247
2025-11-04,TSLA,-0.020141,0.001954,0.001098,0.002284,0.000944,-0.001054,-0.004765
2025-11-07,BA,-0.018107,0.021827,0.019900,0.019066,0.019587,0.019431,0.018962
2025-11-07,MSFT,-0.006829,-0.002771,-0.002447,-0.003559,-0.000142,-0.000040,0.000506
2025-11-13,BIDU,-0.043284,0.069011,0.067044,0.063437,0.064585,0.064011,0.058766
2025-11-13,MU,-0.014476,0.022585,0.020085,0.023835,0.027461,0.018377,0.015501
2025-11-14,COST,-0.001301,0.002812,0.004899,0.005105,0.004380,0.001168,0.002455
2025-11-14,V,0.001505,-0.000715,0.000357,0.000715,-0.000566,-0.002740,0.000894
2025-11-18,AAPL,-0.006282,0.000783,0.000522,0.001045,0.000261,0.000410,0.002649
2025-11-18,IBIT,-0.004517,0.000193,0.002896,0.003089,0.001545,-0.001738,-0.000772
2025-11-21,AMD,-0.036182,0.017540,0.030708,0.024050,0.033292,0.031304,0.035230
2025-11-21,MU,-0.036097,0.015933,0.027097,0.022581,0.032222,0.029076,0.030700
2025-12-09,BABA,-0.031658,-0.000903,-0.001741,-0.001612,-0.004191,-0.003740,-0.003289
2025-12-09,COIN,-0.010496,0.002320,0.003057,0.001473,0.000516,0.000405,-0.000847
2025-12-16,BABA,-0.014746,0.003996,0.003115,0.003657,0.003386,0.005689,0.003928
2025-12-16,MARA,-0.012071,0.018797,0.016917,0.002820,0.017857,0.015977,0.008459
2026-01-08,MU,-0.015777,0.004296,0.005659,0.006667,0.011882,0.010104,0.010193
2026-01-08,SNOW,-0.015096,0.009515,0.012529,0.011754,0.013433,0.011711,0.012744
2026-01-20,MU,-0.027723,0.014271,0.020363,0.019263,0.018473,0.017740,0.018699
2026-01-20,BA,-0.015957,0.009688,0.009605,0.011019,0.010561,0.007900,0.011809
2026-01-30,AVGO,-0.026712,0.021047,0.017771,0.019255,0.019131,0.013599,0.015268
2026-01-30,COIN,-0.026181,0.016152,0.015274,0.008618,0.012901,0.008360,0.009598
2026-02-04,BIDU,-0.034257,0.006222,0.005507,0.005864,0.006794,0.008010,0.008725
2026-02-04,GOOGL,-0.003387,0.006388,0.005772,0.006681,0.006271,0.004512,0.003428
2026-02-05,IBIT,-0.021723,-0.027634,-0.029854,-0.029114,-0.029854,-0.027387,-0.030348
2026-02-05,BIDU,-0.020688,0.022617,0.012746,0.021339,0.011894,0.014024,0.014096
2026-02-13,BIDU,-0.008915,-0.007174,0.000765,-0.005718,-0.017663,-0.017444,-0.027641
2026-02-13,MU,-0.007115,-0.014502,-0.016915,-0.013826,-0.018893,0.002148,-0.017422
2026-02-24,IBIT,-0.023680,0.000000,-0.003903,-0.004739,-0.003624,-0.008921,-0.005297
2026-02-24,COIN,-0.014724,-0.001520,-0.005762,-0.004179,-0.004116,-0.007219,-0.002723
2026-02-27,C,-0.040171,0.040124,0.035938,0.037394,0.035120,0.032572,0.026840
2026-02-27,TXN,-0.008758,0.006400,0.006877,0.015522,0.009265,0.007785,0.003678
2026-03-02,MU,-0.013102,0.008808,0.008708,0.010802,0.019257,0.020267,0.015118
2026-03-02,MSFT,-0.010576,0.003139,0.002830,0.003010,0.005943,0.007461,0.005917
2026-03-06,MU,-0.016816,0.001462,0.000308,-0.000462,0.000564,0.000205,-0.007641
2026-03-06,PLTR,-0.010925,-0.002315,-0.000066,0.014948,0.003704,0.000331,-0.005556
