ticker,entry_date,entry_bar,entry_price,gap_pct,gap_midpoint,prior_close,exit_date,exit_bar,exit_price,exit_reason,return_pct,hold_bars
META,2021-03-01,1,67.0,-4.5,68.5814,70.16,2021-03-03,2,70.641,midpoint,5.4344,3
MSFT,2021-03-04,1,68.0,-5.0,69.7905,71.58,2021-03-09,2,71.6954,midpoint,5.4344,4
MSTR,2021-03-08,1,69.0,-5.5,71.0119,73.02,2021-03-11,2,72.7497,midpoint,5.4344,5
MU,2021-03-10,1,70.0,-6.0,72.2359,74.47,2021-03-16,2,73.8041,midpoint,5.4344,6
NVDA,2021-03-15,1,71.0,-6.5,73.472,75.94,2021-03-19,2,74.8584,midpoint,5.4344,7
PLTR,2021-03-17,1,72.0,-7.0,74.7103,77.42,2021-03-24,2,75.9128,midpoint,5.4344,8
SMCI,2021-03-22,1,73.0,-7.5,75.9605,78.92,2021-03-29,2,76.9671,midpoint,5.4344,9
TSLA,2021-03-24,1,74.0,-4.0,75.5384,77.08,2021-04-01,2,78.0215,midpoint,5.4344,10
TSM,2021-03-26,1,75.0,-4.5,76.7631,78.53,2021-04-05,2,79.0758,midpoint,5.4344,11
V,2021-03-31,1,76.0,-5.0,78.0,80.0,2021-04-09,2,80.1301,midpoint,5.4344,12
AAPL,2021-04-02,1,77.0,-5.5,79.2393,81.48,2021-04-13,2,81.1845,midpoint,5.4344,13
AMD,2021-04-07,1,78.0,-6.0,80.4906,82.98,2021-04-19,2,82.2388,midpoint,5.4344,14
AMZN,2021-04-09,1,79.0,-6.5,81.7441,84.49,2021-04-21,2,83.2932,midpoint,5.4344,15
ARM,2021-04-13,1,80.0,-7.0,83.0093,86.02,2021-04-26,2,84.3475,midpoint,5.4344,16
AVGO,2021-04-16,1,81.0,-7.5,84.2861,87.57,2021-04-29,2,85.4019,midpoint,5.4344,17
BA,2021-04-20,1,82.0,-4.0,83.7116,85.42,2021-04-22,2,86.4562,midpoint,5.4344,2
BABA,2021-04-23,1,83.0,-4.5,84.9545,86.91,2021-04-27,2,87.5106,midpoint,5.4344,3
BIDU,2021-04-27,1,84.0,-5.0,86.2095,88.42,2021-04-30,2,88.5649,midpoint,5.4344,4
C,2021-04-29,1,85.0,-5.5,87.4764,89.95,2021-05-04,2,89.6192,midpoint,5.4344,5
COIN,2021-05-04,1,86.0,-6.0,88.7453,91.49,2021-05-10,2,90.6736,midpoint,5.4344,6
COST,2021-05-06,1,87.0,-6.5,90.0259,93.05,2021-05-12,2,91.7279,midpoint,5.4344,7
GOOGL,2021-05-11,1,88.0,-7.0,91.3083,94.62,2021-05-18,2,92.7823,midpoint,5.4344,8
GS,2021-05-13,1,89.0,-7.5,92.6118,96.22,2021-05-20,2,93.8366,midpoint,5.4344,9
INTC,2021-05-17,1,90.0,-4.0,91.875,93.75,2021-05-25,2,94.891,midpoint,5.4344,10
JD,2021-05-20,1,91.0,-4.5,93.146,95.29,2021-05-28,2,95.9453,midpoint,5.4344,11
JPM,2021-05-24,1,92.0,-5.0,94.419,96.84,2021-06-02,2,96.9996,midpoint,5.4344,12
MARA,2021-05-26,1,93.0,-5.5,95.7037,98.41,2021-06-04,2,98.054,midpoint,5.4344,13
META,2021-05-31,1,94.0,-6.0,97.0,100.0,2021-06-10,2,99.1083,midpoint,5.4344,14
MSFT,2021-06-02,1,95.0,-6.5,98.298,101.6,2021-06-14,2,100.1627,midpoint,5.4344,15
MSTR,2021-06-07,1,96.0,-7.0,99.617,103.23,2021-06-18,2,101.217,midpoint,5.4344,16
MU,2021-06-09,1,97.0,-7.5,100.9278,104.86,2021-06-22,2,102.2714,midpoint,5.4344,17
NVDA,2021-06-11,1,98.0,-4.0,100.0384,102.08,2021-06-15,2,103.3257,midpoint,5.4344,2
PLTR,2021-06-16,1,99.0,-4.5,101.3277,103.66,2021-06-18,2,104.3801,midpoint,5.4344,3
SMCI,2021-06-18,1,100.0,-5.0,102.6285,105.26,2021-06-23,2,105.4344,midpoint,5.4344,4
TSLA,2021-06-23,1,101.0,-5.5,103.9408,106.88,2021-06-28,2,106.4887,midpoint,5.4344,5
TSM,2021-06-25,1,102.0,-6.0,105.2547,108.51,2021-07-01,2,107.5431,midpoint,5.4344,6
V,2021-06-29,1,103.0,-6.5,106.5798,110.16,2021-07-05,2,108.5974,midpoint,5.4344,7
AAPL,2021-07-02,1,104.0,-7.0,107.9159,111.83,2021-07-09,2,109.6518,midpoint,5.4344,8
AMD,2021-07-06,1,105.0,-7.5,109.2534,113.51,2021-07-13,2,110.7061,midpoint,5.4344,9
AMZN,2021-07-09,1,106.0,-4.0,108.2116,110.42,2021-07-19,2,111.7605,midpoint,5.4344,10
ARM,2021-07-13,1,107.0,-4.5,109.5191,112.04,2021-07-21,2,112.8148,midpoint,5.4344,11
AVGO,2021-07-15,1,108.0,-5.0,110.838,113.68,2021-07-26,2,113.8692,midpoint,5.4344,12
BA,2021-07-20,1,109.0,-5.5,112.1682,115.34,2021-07-29,2,114.9235,midpoint,5.4344,13
BABA,2021-07-22,1,110.0,-6.0,113.5094,117.02,2021-08-03,2,115.9778,midpoint,5.4344,14
BIDU,2021-07-27,1,111.0,-6.5,114.8616,118.72,2021-08-06,2,117.0322,midpoint,5.4344,15
C,2021-07-29,1,112.0,-7.0,116.215,120.43,2021-08-11,2,118.0865,midpoint,5.4344,16
COIN,2021-08-02,1,113.0,-7.5,117.579,122.16,2021-08-13,2,119.1409,midpoint,5.4344,17
COST,2021-08-05,1,114.0,-4.0,116.375,118.75,2021-08-09,2,120.1952,midpoint,5.4344,2
GOOGL,2021-08-09,1,115.0,-4.5,117.7106,120.42,2021-08-11,2,121.2496,midpoint,5.4344,3
GS,2021-08-12,1,116.0,-5.0,119.0572,122.11,2021-08-17,2,122.3039,midpoint,5.4344,4
INTC,2021-08-16,1,117.0,-5.5,120.4052,123.81,2021-08-19,2,123.3582,midpoint,5.4344,5
JD,2021-08-18,1,118.0,-6.0,121.7641,125.53,2021-08-24,2,124.4126,midpoint,5.4344,6
JPM,2021-08-23,1,119.0,-6.5,123.1337,127.27,2021-08-27,2,125.4669,midpoint,5.4344,7
MARA,2021-08-25,1,120.0,-7.0,124.5139,129.03,2021-09-01,2,126.5213,midpoint,5.4344,8
META,2021-08-30,1,121.0,-7.5,125.9046,130.81,2021-09-06,2,127.5756,midpoint,5.4344,9
MSFT,2021-09-01,1,122.0,-4.0,124.5384,127.08,2021-09-09,2,128.63,midpoint,5.4344,10
MSTR,2021-09-03,1,123.0,-4.5,125.902,128.8,2021-09-13,2,129.6843,midpoint,5.4344,11
MU,2021-09-08,1,124.0,-5.0,127.2668,130.53,2021-09-17,2,130.7387,midpoint,5.4344,12
NVDA,2021-09-10,1,125.0,-5.5,128.6423,132.28,2021-09-21,2,131.793,midpoint,5.4344,13
PLTR,2021-09-15,1,126.0,-6.0,130.0188,134.04,2021-09-27,2,132.8473,midpoint,5.4344,14
SMCI,2021-09-17,1,127.0,-6.5,131.4155,135.83,2021-09-29,2,133.9017,midpoint,5.4344,15
TSLA,2021-09-21,1,128.0,-7.0,132.813,137.63,2021-10-04,2,134.956,midpoint,5.4344,16
TSM,2021-09-24,1,129.0,-7.5,134.2303,139.46,2021-10-07,2,136.0104,midpoint,5.4344,17
V,2021-09-28,1,130.0,-4.0,132.7116,135.42,2021-09-30,2,137.0647,midpoint,5.4344,2
AAPL,2021-10-01,1,131.0,-4.5,134.0837,137.17,2021-10-05,2,138.1191,midpoint,5.4344,3
AMD,2021-10-05,1,132.0,-5.0,135.4762,138.95,2021-10-08,2,139.1734,midpoint,5.4344,4
AMZN,2021-10-07,1,133.0,-5.5,136.8697,140.74,2021-10-12,2,140.2278,midpoint,5.4344,5
ARM,2021-10-12,1,134.0,-6.0,138.2735,142.55,2021-10-18,2,141.2821,midpoint,5.4344,6
AVGO,2021-10-14,1,135.0,-6.5,139.6973,144.39,2021-10-20,2,142.3364,midpoint,5.4344,7
BA,2021-10-18,1,136.0,-7.0,141.1216,146.24,2021-10-25,2,143.3908,midpoint,5.4344,8
BABA,2021-10-21,1,137.0,-7.5,142.5559,148.11,2021-10-28,2,144.4451,midpoint,5.4344,9
BIDU,2021-10-25,1,138.0,-4.0,140.875,143.75,2021-11-02,2,145.4995,midpoint,5.4344,10
C,2021-10-28,1,139.0,-4.5,142.2751,145.55,2021-11-05,2,146.5538,midpoint,5.4344,11
COIN,2021-11-01,1,140.0,-5.0,143.6858,147.37,2021-11-10,2,147.6082,midpoint,5.4344,12
COST,2021-11-03,1,141.0,-5.5,145.1067,149.21,2021-11-12,2,148.6625,midpoint,5.4344,13
GOOGL,2021-11-08,1,142.0,-6.0,146.5282,151.06,2021-11-18,2,149.7168,midpoint,5.4344,14
GS,2021-11-10,1,143.0,-6.5,147.9694,152.94,2021-11-22,2,150.7712,midpoint,5.4344,15
INTC,2021-11-15,1,144.0,-7.0,149.4206,154.84,2021-11-26,2,151.8255,midpoint,5.4344,16
JD,2021-11-17,1,145.0,-7.5,150.8815,156.76,2021-11-30,2,152.8799,midpoint,5.4344,17
JPM,2021-11-19,1,146.0,-4.0,149.0384,152.08,2021-11-23,2,153.9342,midpoint,5.4344,2
MARA,2021-11-24,1,147.0,-4.5,150.4666,153.93,2021-11-26,2,154.9886,midpoint,5.4344,3
META,2021-11-26,1,148.0,-5.0,151.8952,155.79,2021-12-01,2,156.0429,midpoint,5.4344,4
MSFT,2021-12-01,1,149.0,-5.5,153.3341,157.67,2021-12-06,2,157.0973,midpoint,5.4344,5
MSTR,2021-12-03,1,150.0,-6.0,154.7829,159.57,2021-12-09,2,158.1516,midpoint,5.4344,6
MU,2021-12-07,1,151.0,-6.5,156.2512,161.5,2021-12-13,2,159.2059,midpoint,5.4344,7
NVDA,2021-12-10,1,152.0,-7.0,157.7196,163.44,2021-12-17,2,160.2603,midpoint,5.4344,8
PLTR,2021-12-14,1,153.0,-7.5,159.2071,165.41,2021-12-21,2,161.3146,midpoint,5.4344,9
SMCI,2021-12-17,1,154.0,-4.0,157.2116,160.42,2021-12-27,2,162.369,midpoint,5.4344,10
TSLA,2021-12-21,1,155.0,-4.5,158.6483,162.3,2021-12-29,2,163.4233,midpoint,5.4344,11
TSM,2021-12-23,1,156.0,-5.0,160.1047,164.21,2022-01-03,2,164.4777,midpoint,5.4344,12
V,2021-12-28,1,157.0,-5.5,161.5711,166.14,2022-01-06,2,165.532,midpoint,5.4344,13
AAPL,2021-12-30,1,158.0,-6.0,163.0473,168.09,2022-01-11,2,166.5864,midpoint,5.4344,14
AMD,2022-01-04,1,159.0,-6.5,164.5234,170.05,2022-01-14,2,167.6407,midpoint,5.4344,15
AMZN,2022-01-06,1,160.0,-7.0,166.0186,172.04,2022-01-19,2,168.695,midpoint,5.4344,16
ARM,2022-01-10,1,161.0,-7.5,167.5231,174.05,2022-01-21,2,169.7494,midpoint,5.4344,17
AVGO,2022-01-13,1,162.0,-4.0,165.375,168.75,2022-01-17,2,170.8037,midpoint,5.4344,2
BA,2022-01-17,1,163.0,-4.5,166.8397,170.68,2022-01-19,2,171.8581,midpoint,5.4344,3
BABA,2022-01-20,1,164.0,-5.0,168.3142,172.63,2022-01-25,2,172.9124,midpoint,5.4344,4
BIDU,2022-01-24,1,165.0,-5.5,169.7985,174.6,2022-01-27,2,173.9668,midpoint,5.4344,5
C,2022-01-26,1,166.0,-6.0,171.302,176.6,2022-02-01,2,175.0211,midpoint,5.4344,6
COIN,2022-01-31,1,167.0,-6.5,172.8052,178.61,2022-02-04,2,176.0754,midpoint,5.4344,7
COST,2022-02-02,1,168.0,-7.0,174.3272,180.65,2022-02-09,2,177.1298,midpoint,5.4344,8
GOOGL,2022-02-07,1,169.0,-7.5,175.8487,182.7,2022-02-14,2,178.1841,midpoint,5.4344,9
GS,2022-02-09,1,170.0,-4.0,173.5384,177.08,2022-02-17,2,179.2385,midpoint,5.4344,10
INTC,2022-02-11,1,171.0,-4.5,175.0311,179.06,2022-02-21,2,180.2928,midpoint,5.4344,11
JD,2022-02-16,1,172.0,-5.0,176.5238,181.05,2022-02-25,2,181.3472,midpoint,5.4344,12
JPM,2022-02-18,1,173.0,-5.5,178.0356,183.07,2022-03-01,2,182.4015,midpoint,5.4344,13
MARA,2022-02-23,1,174.0,-6.0,179.5567,185.11,2022-03-07,2,183.4559,midpoint,5.4344,14
META,2022-02-25,1,175.0,-6.5,181.087,187.17,2022-03-09,2,184.5102,midpoint,5.4344,15
MSFT,2022-03-01,1,176.0,-7.0,182.6262,189.25,2022-03-14,2,185.5645,midpoint,5.4344,16
MSTR,2022-03-04,1,177.0,-7.5,184.1744,191.35,2022-03-17,2,186.6189,midpoint,5.4344,17
MU,2022-03-08,1,178.0,-4.0,181.7116,185.42,2022-03-10,2,187.6732,midpoint,5.4344,2
NVDA,2022-03-10,1,179.0,-4.5,183.2128,187.43,2022-03-14,2,188.7276,midpoint,5.4344,3
PLTR,2022-03-15,1,180.0,-5.0,184.7332,189.47,2022-03-18,2,189.7819,midpoint,5.4344,4
SMCI,2022-03-17,1,181.0,-5.5,186.2629,191.53,2022-03-22,2,190.8363,midpoint,5.4344,5
TSLA,2022-03-22,1,182.0,-6.0,187.8114,193.62,2022-03-28,2,191.8906,midpoint,5.4344,6
TSM,2022-03-24,1,183.0,-6.5,189.3591,195.72,2022-03-30,2,192.945,midpoint,5.4344,7
V,2022-03-28,1,184.0,-7.0,190.9252,197.85,2022-04-04,2,193.9993,midpoint,5.4344,8
AAPL,2022-03-31,1,185.0,-7.5,192.5,200.0,2022-04-07,2,195.0536,midpoint,5.4344,9
AMD,2022-04-04,1,186.0,-4.0,189.875,193.75,2022-04-12,2,196.108,midpoint,5.4344,10
AMZN,2022-04-07,1,187.0,-4.5,191.4043,195.81,2022-04-15,2,197.1623,midpoint,5.4344,11
ARM,2022-04-11,1,188.0,-5.0,192.9427,197.89,2022-04-20,2,198.2167,midpoint,5.4344,12
AVGO,2022-04-13,1,189.0,-5.5,194.5,200.0,2022-04-22,2,199.271,midpoint,5.4344,13
BA,2022-04-18,1,190.0,-6.0,196.0661,202.13,2022-04-28,2,200.3254,midpoint,5.4344,14
BABA,2022-04-20,1,191.0,-6.5,197.6409,204.28,2022-05-02,2,201.3797,midpoint,5.4344,15
BIDU,2022-04-25,1,192.0,-7.0,199.2242,206.45,2022-05-06,2,202.434,midpoint,5.4344,16
C,2022-04-27,1,193.0,-7.5,200.8256,208.65,2022-05-10,2,203.4884,midpoint,5.4344,17
COIN,2022-04-29,1,194.0,-4.0,198.0384,202.08,2022-05-03,2,204.5427,midpoint,5.4344,2
COST,2022-05-04,1,195.0,-4.5,199.5957,204.19,2022-05-06,2,205.5971,midpoint,5.4344,3
GOOGL,2022-05-06,1,196.0,-5.0,201.162,206.32,2022-05-11,2,206.6514,midpoint,5.4344,4
GS,2022-05-11,1,197.0,-5.5,202.7371,208.47,2022-05-16,2,207.7058,midpoint,5.4344,5
INTC,2022-05-13,1,198.0,-6.0,204.3208,210.64,2022-05-19,2,208.7601,midpoint,5.4344,6
JD,2022-05-17,1,199.0,-6.5,205.913,212.83,2022-05-23,2,209.8145,midpoint,5.4344,7
JPM,2022-05-20,1,200.0,-7.0,207.5232,215.05,2022-05-27,2,210.8688,midpoint,5.4344,8
MARA,2022-05-24,1,201.0,-7.5,209.1513,217.3,2022-05-31,2,211.9231,midpoint,5.4344,9
META,2022-05-27,1,202.0,-4.0,206.2116,210.42,2022-06-06,2,212.9775,midpoint,5.4344,10
MSFT,2022-05-31,1,203.0,-4.5,207.7872,212.57,2022-06-08,2,214.0318,midpoint,5.4344,11
MSTR,2022-06-02,1,204.0,-5.0,209.3715,214.74,2022-06-13,2,215.0862,midpoint,5.4344,12
MU,2022-06-07,1,205.0,-5.5,210.9644,216.93,2022-06-16,2,216.1405,midpoint,5.4344,13
NVDA,2022-06-09,1,206.0,-6.0,212.5755,219.15,2022-06-21,2,217.1949,midpoint,5.4344,14
PLTR,2022-06-14,1,207.0,-6.5,214.1948,221.39,2022-06-24,2,218.2492,midpoint,5.4344,15
SMCI,2022-06-16,1,208.0,-7.0,215.8319,223.66,2022-06-29,2,219.3036,midpoint,5.4344,16
TSLA,2022-06-20,1,209.0,-7.5,217.4769,225.95,2022-07-01,2,220.3579,midpoint,5.4344,17
TSM,2022-06-23,1,210.0,-4.0,214.375,218.75,2022-06-27,2,221.4122,midpoint,5.4344,2
V,2022-06-27,1,211.0,-4.5,215.9689,220.94,2022-06-29,2,222.4666,midpoint,5.4344,3
AAPL,2022-06-30,1,212.0,-5.0,217.581,223.16,2022-07-05,2,223.5209,midpoint,5.4344,4
AMD,2022-07-04,1,213.0,-5.5,219.2015,225.4,2022-07-07,2,224.5753,midpoint,5.4344,5
AMZN,2022-07-06,1,214.0,-6.0,220.8302,227.66,2022-07-12,2,225.6296,midpoint,5.4344,6
ARM,2022-07-11,1,215.0,-6.5,222.4766,229.95,2022-07-15,2,226.684,midpoint,5.4344,7
AVGO,2022-07-13,1,216.0,-7.0,224.1309,232.26,2022-07-20,2,227.7383,midpoint,5.4344,8
BA,2022-07-18,1,217.0,-7.5,225.7929,234.59,2022-07-25,2,228.7926,midpoint,5.4344,9
BABA,2022-07-20,1,218.0,-4.0,222.5384,227.08,2022-07-28,2,229.847,midpoint,5.4344,10
BIDU,2022-07-22,1,219.0,-4.5,224.1603,229.32,2022-08-01,2,230.9013,midpoint,5.4344,11
C,2022-07-27,1,220.0,-5.0,225.7905,231.58,2022-08-05,2,231.9557,midpoint,5.4344,12
COIN,2022-07-29,1,221.0,-5.5,227.4289,233.86,2022-08-09,2,233.01,midpoint,5.4344,13
COST,2022-08-02,1,222.0,-6.0,229.0849,236.17,2022-08-12,2,234.0644,midpoint,5.4344,14
GOOGL,2022-08-05,1,223.0,-6.5,230.7488,238.5,2022-08-17,2,235.1187,midpoint,5.4344,15
GS,2022-08-09,1,224.0,-7.0,232.4299,240.86,2022-08-22,2,236.1731,midpoint,5.4344,16
INTC,2022-08-12,1,225.0,-7.5,234.1185,243.24,2022-08-25,2,237.2274,midpoint,5.4344,17
JD,2022-08-16,1,226.0,-4.0,230.7116,235.42,2022-08-18,2,238.2817,midpoint,5.4344,2
JPM,2022-08-18,1,227.0,-4.5,232.3518,237.7,2022-08-22,2,239.3361,midpoint,5.4344,3
MARA,2022-08-23,1,228.0,-5.0,234.0,240.0,2022-08-26,2,240.3904,midpoint,5.4344,4
META,2022-08-25,1,229.0,-5.5,235.6659,242.33,2022-08-30,2,241.4448,midpoint,5.4344,5
MSFT,2022-08-30,1,230.0,-6.0,237.3396,244.68,2022-09-05,2,242.4991,midpoint,5.4344,6
MSTR,2022-09-01,1,231.0,-6.5,239.0306,247.06,2022-09-07,2,243.5535,midpoint,5.4344,7
MU,2022-09-05,1,232.0,-7.0,240.7289,249.46,2022-09-12,2,244.6078,midpoint,5.4344,8
NVDA,2022-09-08,1,233.0,-7.5,242.4441,251.89,2022-09-15,2,245.6622,midpoint,5.4344,9
PLTR,2022-09-12,1,234.0,-4.0,238.875,243.75,2022-09-20,2,246.7165,midpoint,5.4344,10
SMCI,2022-09-15,1,235.0,-4.5,240.5334,246.07,2022-09-23,2,247.7708,midpoint,5.4344,11
TSLA,2022-09-19,1,236.0,-5.0,242.2095,248.42,2022-09-28,2,248.8252,midpoint,5.4344,12
TSM,2022-09-21,1,237.0,-5.5,243.8933,250.79,2022-09-30,2,249.8795,midpoint,5.4344,13
V,2022-09-26,1,238.0,-6.0,245.5943,253.19,2022-10-06,2,250.9339,midpoint,5.4344,14
AAPL,2022-09-28,1,239.0,-6.5,247.3027,255.61,2022-10-10,2,251.9882,midpoint,5.4344,15
AMD,2022-10-03,1,240.0,-7.0,249.0279,258.06,2022-10-14,2,253.0426,midpoint,5.4344,16
AMZN,2022-10-05,1,241.0,-7.5,250.7698,260.54,2022-10-18,2,254.0969,midpoint,5.4344,17
ARM,2022-10-07,1,242.0,-4.0,247.0384,252.08,2022-10-11,2,255.1512,midpoint,5.4344,2
AVGO,2022-10-12,1,243.0,-4.5,248.7249,254.45,2022-10-14,2,256.2056,midpoint,5.4344,3
BA,2022-10-14,1,244.0,-5.0,250.419,256.84,2022-10-19,2,257.2599,midpoint,5.4344,4
BABA,2022-10-19,1,245.0,-5.5,252.1303,259.26,2022-10-24,2,258.3143,midpoint,5.4344,5
BIDU,2022-10-21,1,246.0,-6.0,253.849,261.7,2022-10-27,2,259.3686,midpoint,5.4344,6
C,2022-10-25,1,247.0,-6.5,255.5845,264.17,2022-10-31,2,260.423,midpoint,5.4344,7
COIN,2022-10-28,1,248.0,-7.0,257.3365,266.67,2022-11-04,2,261.4773,midpoint,5.4344,8
COST,2022-11-01,1,249.0,-7.5,259.0954,269.19,2022-11-08,2,262.5317,midpoint,5.4344,9
GOOGL,2022-11-04,1,250.0,-4.0,255.2116,260.42,2022-11-14,2,263.586,midpoint,5.4344,10
GS,2022-11-08,1,251.0,-4.5,256.9163,262.83,2022-11-16,2,264.6403,midpoint,5.4344,11
INTC,2022-11-10,1,252.0,-5.0,258.6285,265.26,2022-11-21,2,265.6947,midpoint,5.4344,12
JD,2022-11-15,1,253.0,-5.5,260.3577,267.72,2022-11-24,2,266.749,midpoint,5.4344,13
JPM,2022-11-17,1,254.0,-6.0,262.1037,270.21,2022-11-29,2,267.8034,midpoint,5.4344,14
MARA,2022-11-22,1,255.0,-6.5,263.8663,272.73,2022-12-02,2,268.8577,midpoint,5.4344,15
META,2022-11-24,1,256.0,-7.0,265.6355,275.27,2022-12-07,2,269.9121,midpoint,5.4344,16
MSFT,2022-11-28,1,257.0,-7.5,267.421,277.84,2022-12-09,2,270.9664,midpoint,5.4344,17
MSTR,2022-12-01,1,258.0,-4.0,263.375,268.75,2022-12-05,2,272.0208,midpoint,5.4344,2
MU,2022-12-05,1,259.0,-4.5,265.098,271.2,2022-12-07,2,273.0751,midpoint,5.4344,3
NVDA,2022-12-07,1,260.0,-5.0,266.838,273.68,2022-12-12,2,274.1294,midpoint,5.4344,4
PLTR,2022-12-12,1,261.0,-5.5,268.5948,276.19,2022-12-15,2,275.1838,midpoint,5.4344,5
SMCI,2022-12-14,1,262.0,-6.0,270.3584,278.72,2022-12-20,2,276.2381,midpoint,5.4344,6
TSLA,2022-12-19,1,263.0,-6.5,272.1384,281.28,2022-12-23,2,277.2925,midpoint,5.4344,7
TSM,2022-12-21,1,264.0,-7.0,273.9346,283.87,2022-12-28,2,278.3468,midpoint,5.4344,8
V,2022-12-23,1,265.0,-7.5,275.7466,286.49,2022-12-30,2,279.4012,midpoint,5.4344,9
AAPL,2022-12-28,1,266.0,-4.0,271.5384,277.08,2023-01-05,2,280.4555,midpoint,5.4344,10
AMD,2022-12-30,1,267.0,-4.5,273.2894,279.58,2023-01-09,2,281.5098,midpoint,5.4344,11
AMZN,2023-01-04,1,268.0,-5.0,275.0573,282.11,2023-01-13,2,282.5642,midpoint,5.4344,12
ARM,2023-01-06,1,269.0,-5.5,276.8319,284.66,2023-01-17,2,283.6185,midpoint,5.4344,13
AVGO,2023-01-10,1,270.0,-6.0,278.6131,287.23,2023-01-20,2,284.6729,midpoint,5.4344,14
BA,2023-01-13,1,271.0,-6.5,280.4202,289.84,2023-01-25,2,285.7272,midpoint,5.4344,15
BABA,2023-01-17,1,272.0,-7.0,282.2336,292.47,2023-01-30,2,286.7816,midpoint,5.4344,16
BIDU,2023-01-20,1,273.0,-7.5,284.0722,295.14,2023-02-02,2,287.8359,midpoint,5.4344,17
C,2023-01-24,1,274.0,-4.0,279.7116,285.42,2023-01-26,2,288.8903,midpoint,5.4344,2
COIN,2023-01-26,1,275.0,-4.5,281.4809,287.96,2023-01-30,2,289.9446,midpoint,5.4344,3
COST,2023-01-31,1,276.0,-5.0,283.2667,290.53,2023-02-03,2,290.9989,midpoint,5.4344,4
GOOGL,2023-02-02,1,277.0,-5.5,285.0592,293.12,2023-02-07,2,292.0533,midpoint,5.4344,5
GS,2023-02-07,1,278.0,-6.0,286.8678,295.74,2023-02-13,2,293.1076,midpoint,5.4344,6
INTC,2023-02-09,1,279.0,-6.5,288.702,298.4,2023-02-15,2,294.162,midpoint,5.4344,7
JD,2023-02-13,1,280.0,-7.0,290.5422,301.08,2023-02-20,2,295.2163,midpoint,5.4344,8
JPM,2023-02-16,1,281.0,-7.5,292.3882,303.78,2023-02-23,2,296.2707,midpoint,5.4344,9
MARA,2023-02-20,1,282.0,-4.0,287.875,293.75,2023-02-28,2,297.325,midpoint,5.4344,10
META,2023-02-23,1,283.0,-4.5,289.6723,296.34,2023-03-03,2,298.3794,midpoint,5.4344,11
MSFT,2023-02-27,1,284.0,-5.0,291.4762,298.95,2023-03-08,2,299.4337,midpoint,5.4344,12
MSTR,2023-03-01,1,285.0,-5.5,293.2963,301.59,2023-03-10,2,300.488,midpoint,5.4344,13
MU,2023-03-06,1,286.0,-6.0,295.1322,304.26,2023-03-16,2,301.5424,midpoint,5.4344,14
NVDA,2023-03-08,1,287.0,-6.5,296.9741,306.95,2023-03-20,2,302.5967,midpoint,5.4344,15
PLTR,2023-03-13,1,288.0,-7.0,298.8412,309.68,2023-03-24,2,303.6511,midpoint,5.4344,16
SMCI,2023-03-15,1,289.0,-7.5,300.7139,312.43,2023-03-28,2,304.7054,midpoint,5.4344,17
TSLA,2023-03-17,1,290.0,-4.0,296.0384,302.08,2023-03-21,2,305.7598,midpoint,5.4344,2
TSM,2023-03-22,1,291.0,-4.5,297.854,304.71,2023-03-24,2,306.8141,midpoint,5.4344,3
V,2023-03-24,1,292.0,-5.0,299.6857,307.37,2023-03-29,2,307.8684,midpoint,5.4344,4
AAPL,2023-03-29,1,293.0,-5.5,301.5236,310.05,2023-04-03,2,308.9228,midpoint,5.4344,5
