ticker,earnings_date,time_of_day,eps_estimated,eps_actual,surprise_pct,revenue_estimated,revenue_actual,revenue_surprise_pct,source
GS,2022-01-18,BMO,,,,,,,extrapolated
GS,2022-04-14,BMO,,,,,,,extrapolated
GS,2022-07-18,BMO,,,,,,,extrapolated
GS,2022-10-18,BMO,,,,,,,extrapolated
GS,2023-01-24,BMO,,,,,,,extrapolated
GS,2023-04-18,BMO,,,,,,,extrapolated
GS,2023-07-25,BMO,,,,,,,extrapolated
GS,2023-10-24,BMO,,,,,,,extrapolated
GS,2024-01-23,BMO,,,,,,,extrapolated
GS,2024-04-15,BMO,,,,,,,extrapolated
GS,2024-07-16,BMO,,,,,,,extrapolated
GS,2024-10-15,BMO,13.11,16.23,23.7986,15269084508.0,16503208530.0,8.0825,fmp
GS,2025-01-15,BMO,13.59,16.94,24.6505,48728807294.0,48523104974.0,-0.4221,fmp
GS,2025-04-14,BMO,12.95,13.17,1.6988,23347329891.0,23329569406.0,-0.0761,fmp
GS,2025-07-14,BMO,13.64,10.65,-21.9208,65940765168.0,66596991682.0,0.9952,fmp
GS,2025-10-15,BMO,14.81,18.99,28.2242,15957466426.0,17482363380.0,9.556,fmp
GS,2026-01-14,BMO,6.79,5.28,-22.2386,15298241985.0,15530539116.0,1.5185,fmp
INTC,2022-01-27,AMC,,,,,,,extrapolated
INTC,2022-04-29,AMC,,,,,,,extrapolated
INTC,2022-07-29,AMC,,,,,,,extrapolated
INTC,2022-10-28,AMC,,,,,,,extrapolated
INTC,2023-01-27,AMC,,,,,,,extrapolated
INTC,2023-04-28,AMC,,,,,,,extrapolated
INTC,2023-07-28,AMC,,,,,,,extrapolated
INTC,2023-10-27,AMC,,,,,,,extrapolated
INTC,2024-01-26,AMC,,,,,,,extrapolated
INTC,2024-04-03,AMC,,,,,,,extrapolated
INTC,2024-07-17,AMC,,,,,,,extrapolated
INTC,2024-11-01,AMC,,,,,,,extrapolated
INTC,2025-01-17,AMC,,,,,,,extrapolated
INTC,2025-04-14,AMC,,,,,,,extrapolated
INTC,2025-07-25,AMC,,,,,,,extrapolated
INTC,2025-10-24,AMC,,,,,,,extrapolated
INTC,2026-01-05,AMC,,,,,,,extrapolated
INTC,2026-03-16,AMC,,,,,,,extrapolated
JPM,2022-01-14,BMO,,,,,,,extrapolated
JPM,2022-04-13,BMO,,,,,,,extrapolated
JPM,2022-07-14,BMO,,,,,,,extrapolated
JPM,2022-10-17,BMO,,,,,,,extrapolated
JPM,2023-01-13,BMO,,,,,,,extrapolated
JPM,2023-04-14,BMO,,,,,,,extrapolated
JPM,2023-07-14,BMO,,,,,,,extrapolated
JPM,2023-10-13,BMO,,,,,,,extrapolated
JPM,2024-01-16,BMO,,,,,,,extrapolated
JPM,2024-04-12,BMO,,,,,,,extrapolated
JPM,2024-07-12,BMO,,,,,,,extrapolated
JPM,2024-10-11,BMO,5.19,6.15,18.4971,53585190669.0,54002046747.0,0.7779,fmp
JPM,2025-01-15,BMO,4.73,5.75,21.5645,5160671431.0,5619126257.0,8.8836,fmp
JPM,2025-04-11,BMO,4.62,4.66,0.8658,68709707921.0,69028055167.0,0.4633,fmp
JPM,2025-07-15,BMO,3.21,3.19,-0.6231,34821986281.0,37510323431.0,7.7202,fmp
JPM,2025-10-14,BMO,5.16,5.67,9.8837,43797326319.0,44251069162.0,1.036,fmp
JPM,2026-01-14,BMO,3.89,4.4,13.1105,94334548719.0,99201993689.0,5.1598,fmp
MARA,2022-01-12,AMC,,,,,,,extrapolated
MARA,2022-04-06,AMC,,,,,,,extrapolated
MARA,2022-07-18,AMC,,,,,,,extrapolated
MARA,2022-10-13,AMC,,,,,,,extrapolated
MARA,2023-01-17,AMC,,,,,,,extrapolated
MARA,2023-04-26,AMC,,,,,,,extrapolated
MARA,2023-07-24,AMC,,,,,,,extrapolated
MARA,2023-10-24,AMC,,,,,,,extrapolated
MARA,2024-01-26,AMC,,,,,,,extrapolated
MARA,2024-04-25,AMC,,,,,,,extrapolated
MARA,2024-08-05,AMC,,,,,,,extrapolated
MARA,2024-11-12,AMC,0.85,0.84,-1.1765,57054035248.0,54204807560.0,-4.9939,fmp
MARA,2025-02-25,AMC,-0.07,-0.08,-14.2857,67197034252.0,68524056641.0,1.9748,fmp
MARA,2025-05-06,AMC,0.16,0.18,12.5,90612178454.0,96901000174.0,6.9404,fmp
MARA,2025-08-07,AMC,-0.25,-0.29,-16.0,65129381298.0,65147502787.0,0.0278,fmp
MARA,2025-11-06,AMC,0.73,0.74,1.3699,26340863270.0,25810608256.0,-2.0131,fmp
MARA,2026-02-25,AMC,-0.46,-0.53,-15.2174,85725080989.0,82375307816.0,-3.9076,fmp
META,2022-02-03,AMC,,,,,,,extrapolated
META,2022-04-28,AMC,,,,,,,extrapolated
META,2022-07-22,AMC,,,,,,,extrapolated
META,2022-10-27,AMC,,,,,,,extrapolated
META,2023-02-02,AMC,,,,,,,extrapolated
META,2023-04-27,AMC,,,,,,,extrapolated
META,2023-07-27,AMC,,,,,,,extrapolated
META,2023-10-27,AMC,,,,,,,extrapolated
META,2024-02-02,AMC,,,,,,,extrapolated
META,2024-04-25,AMC,,,,,,,extrapolated
META,2024-08-01,AMC,,,,,,,extrapolated
META,2024-10-30,AMC,4.66,4.6,-1.2876,71153653797.0,72872482396.0,2.4157,fmp
META,2025-01-29,AMC,3.98,3.9,-2.0101,76341625279.0,81342530651.0,6.5507,fmp
META,2025-04-30,AMC,3.43,3.64,6.1224,96006774017.0,98665553221.0,2.7694,fmp
META,2025-07-30,AMC,3.2,4.02,25.625,48363873420.0,51759621411.0,7.0212,fmp
META,2025-10-29,AMC,5.67,4.95,-12.6984,95253762802.0,103227825716.0,8.3714,fmp
META,2026-01-28,AMC,5.45,5.45,0.0,83904071124.0,86604170634.0,3.2181,fmp
MSFT,2022-01-26,AMC,,,,,,,extrapolated
MSFT,2022-04-27,AMC,,,,,,,extrapolated
MSFT,2022-07-27,AMC,,,,,,,extrapolated
MSFT,2022-10-26,AMC,,,,,,,extrapolated
MSFT,2023-01-25,AMC,,,,,,,extrapolated
MSFT,2023-04-26,AMC,,,,,,,extrapolated
MSFT,2023-07-26,AMC,,,,,,,extrapolated
MSFT,2023-10-25,AMC,,,,,,,extrapolated
MSFT,2024-01-26,AMC,,,,,,,extrapolated
MSFT,2024-04-26,AMC,,,,,,,extrapolated
MSFT,2024-08-05,AMC,,,,,,,extrapolated
MSFT,2024-10-30,AMC,3.79,3.79,0.0,29623197104.0,29240641970.0,-1.2914,fmp
MSFT,2025-01-29,AMC,3.28,3.28,0.0,64541101513.0,63972469692.0,-0.881,fmp
MSFT,2025-04-30,AMC,2.15,2.34,8.8372,35372409000.0,36469761351.0,3.1023,fmp
MSFT,2025-07-29,AMC,2.28,2.76,21.0526,72109818461.0,69199057153.0,-4.0366,fmp
MSFT,2025-10-28,AMC,2.82,3.19,13.1206,24649267004.0,24970238116.0,1.3022,fmp
MSFT,2026-01-27,AMC,3.81,4.62,21.2598,86389543069.0,91990970757.0,6.4839,fmp
MSTR,2022-01-21,AMC,,,,,,,extrapolated
MSTR,2022-03-28,AMC,,,,,,,extrapolated
MSTR,2022-05-31,AMC,,,,,,,extrapolated
MSTR,2022-08-08,AMC,,,,,,,extrapolated
MSTR,2022-10-13,AMC,,,,,,,extrapolated
MSTR,2022-12-13,AMC,,,,,,,extrapolated
MSTR,2023-03-03,AMC,,,,,,,extrapolated
MSTR,2023-05-08,AMC,,,,,,,extrapolated
MSTR,2023-08-18,AMC,,,,,,,extrapolated
MSTR,2023-10-24,AMC,,,,,,,extrapolated
MSTR,2024-01-02,AMC,,,,,,,extrapolated
MSTR,2024-03-04,AMC,,,,,,,extrapolated
MSTR,2024-05-06,AMC,,,,,,,extrapolated
MSTR,2024-07-11,AMC,,,,,,,extrapolated
MSTR,2024-09-19,AMC,,,,,,,extrapolated
MSTR,2024-11-20,AMC,,,,,,,extrapolated
MSTR,2025-02-03,AMC,,,,,,,extrapolated
MSTR,2025-04-07,AMC,,,,,,,extrapolated
MSTR,2025-10-14,AMC,,,,,,,extrapolated
MSTR,2025-12-18,AMC,,,,,,,extrapolated
MSTR,2026-02-25,AMC,,,,,,,extrapolated
MU,2022-03-29,AMC,,,,,,,extrapolated
MU,2022-07-01,AMC,,,,,,,extrapolated
MU,2022-10-04,AMC,,,,,,,extrapolated
MU,2023-01-04,AMC,,,,,,,extrapolated
MU,2023-04-10,AMC,,,,,,,extrapolated
MU,2023-07-06,AMC,,,,,,,extrapolated
MU,2023-09-28,AMC,,,,,,,extrapolated
MU,2023-12-21,AMC,,,,,,,extrapolated
MU,2024-03-21,AMC,,,,,,,extrapolated
MU,2024-06-27,AMC,,,,,,,extrapolated
MU,2024-09-26,AMC,,,,,,,extrapolated
MU,2024-12-18,AMC,1.26,1.4,11.1111,76580136881.0,82554704168.0,7.8017,fmp
MU,2025-03-19,AMC,2.41,2.96,22.8216,56882569425.0,59185624544.0,4.0488,fmp
MU,2025-06-25,AMC,0.94,1.07,13.8298,7757357895.0,7760611576.0,0.0419,fmp
MU,2025-09-24,AMC,1.86,1.97,5.914,49402064177.0,47877722463.0,-3.0856,fmp
MU,2025-12-17,AMC,1.74,1.96,12.6437,58617238387.0,55924673534.0,-4.5935,fmp
MU,2026-03-18,AMC,1.79,2.05,14.5251,9777040181.0,9844165229.0,0.6866,fmp
NVDA,2022-02-24,AMC,,,,,,,extrapolated
NVDA,2022-05-17,AMC,,,,,,,extrapolated
NVDA,2022-08-08,AMC,,,,,,,extrapolated
NVDA,2022-11-16,AMC,,,,,,,extrapolated
NVDA,2023-02-23,AMC,,,,,,,extrapolated
NVDA,2023-05-25,AMC,,,,,,,extrapolated
NVDA,2023-08-24,AMC,,,,,,,extrapolated
NVDA,2023-11-14,AMC,,,,,,,extrapolated
NVDA,2024-02-22,AMC,,,,,,,extrapolated
NVDA,2024-05-23,AMC,,,,,,,extrapolated
NVDA,2024-08-29,AMC,,,,,,,extrapolated
NVDA,2024-11-20,AMC,0.71,0.87,22.5352,41016990479.0,43592917921.0,6.2801,fmp
NVDA,2025-02-26,AMC,1.33,1.37,3.0075,6841412270.0,7052899870.0,3.0913,fmp
NVDA,2025-05-28,AMC,1.5,1.8,20.0,79217139713.0,83000803665.0,4.7763,fmp
NVDA,2025-08-27,AMC,1.25,0.95,-24.0,6936101645.0,6747837479.0,-2.7143,fmp
NVDA,2025-11-19,AMC,0.63,0.63,0.0,25706631386.0,27118433044.0,5.492,fmp
NVDA,2026-02-26,AMC,1.27,1.51,18.8976,76052936936.0,73556874276.0,-3.282,fmp
PLTR,2022-02-17,AMC,,,,,,,extrapolated
PLTR,2022-05-09,AMC,,,,,,,extrapolated
PLTR,2022-08-08,AMC,,,,,,,extrapolated
PLTR,2022-11-10,AMC,,,,,,,extrapolated
PLTR,2023-02-14,AMC,,,,,,,extrapolated
PLTR,2023-05-08,AMC,,,,,,,extrapolated
PLTR,2023-07-28,AMC,,,,,,,extrapolated
PLTR,2023-11-02,AMC,,,,,,,extrapolated
PLTR,2024-02-06,AMC,,,,,,,extrapolated
PLTR,2024-05-07,AMC,,,,,,,extrapolated
PLTR,2024-08-06,AMC,,,,,,,extrapolated
PLTR,2024-11-04,AMC,0.13,0.1,-23.0769,7439450422.0,7415596469.0,-0.3206,fmp
PLTR,2025-02-03,AMC,0.12,0.1,-16.6667,72926396980.0,70111399528.0,-3.8601,fmp
PLTR,2025-05-05,AMC,0.12,0.12,0.0,78385684070.0,84464022447.0,7.7544,fmp
PLTR,2025-08-04,AMC,0.11,0.14,27.2727,79350357904.0,79515451465.0,0.2081,fmp
PLTR,2025-11-03,AMC,0.09,0.1,11.1111,37416961612.0,40314394325.0,7.7436,fmp
PLTR,2026-02-09,AMC,0.13,0.17,30.7692,65380585080.0,70238761154.0,7.4306,fmp
SMCI,2022-02-02,AMC,,,,,,,extrapolated
SMCI,2022-04-19,AMC,,,,,,,extrapolated
SMCI,2022-07-21,AMC,,,,,,,extrapolated
SMCI,2022-10-20,AMC,,,,,,,extrapolated
SMCI,2022-12-20,AMC,,,,,,,extrapolated
SMCI,2023-04-06,AMC,,,,,,,extrapolated
SMCI,2023-06-07,AMC,,,,,,,extrapolated
SMCI,2023-08-07,AMC,,,,,,,extrapolated
SMCI,2023-12-01,AMC,,,,,,,extrapolated
SMCI,2024-02-14,AMC,,,,,,,extrapolated
SMCI,2024-04-19,AMC,,,,,,,extrapolated
SMCI,2024-06-20,AMC,,,,,,,extrapolated
SMCI,2024-08-27,AMC,,,,,,,extrapolated
SMCI,2024-10-30,AMC,,,,,,,extrapolated
SMCI,2025-01-06,AMC,,,,,,,extrapolated
SMCI,2025-03-12,AMC,,,,,,,extrapolated
SMCI,2025-05-12,AMC,,,,,,,extrapolated
SMCI,2025-07-15,AMC,,,,,,,extrapolated
SMCI,2025-10-06,AMC,,,,,,,extrapolated
SMCI,2026-01-20,AMC,,,,,,,extrapolated
TSLA,2022-01-24,AMC,,,,,,,extrapolated
TSLA,2022-04-21,AMC,,,,,,,extrapolated
TSLA,2022-07-13,AMC,,,,,,,extrapolated
TSLA,2022-10-20,AMC,,,,,,,extrapolated
TSLA,2023-01-26,AMC,,,,,,,extrapolated
TSLA,2023-04-20,AMC,,,,,,,extrapolated
TSLA,2023-07-20,AMC,,,,,,,extrapolated
TSLA,2023-10-19,AMC,,,,,,,extrapolated
TSLA,2024-01-25,AMC,,,,,,,extrapolated
TSLA,2024-04-24,AMC,,,,,,,extrapolated
TSLA,2024-07-24,AMC,,,,,,,extrapolated
