ticker,direction,pattern,entry_time,exit_time,entry_price,exit_price,pnl,pnl_r,is_winner
BA,long,MODEL4,2026-01-12 17:05:00,2026-01-16 18:10:00,239.69793,239.69792041208282,461.4638689041149,1.0264358394213853,True
BA,long,MODEL4,2026-01-16 18:15:00,2026-01-20 16:35:00,247.639518,245.38075134543885,-435.9419643303033,-0.9783598097093268,False
BA,long,MODEL4,2026-01-29 17:00:00,2026-01-29 17:10:00,234.27684599999998,232.02075187983885,-439.93835343141893,-0.9794742000709523,False
BABA,long,LP1,2025-12-18 18:00:00,2025-12-18 18:10:00,147.909576,147.48007408479998,-280.4647506256043,-0.9354486980006127,False
BIDU,short,LP2,2026-01-08 18:00:00,2026-01-08 18:05:00,141.23174799999998,141.6600743496,-281.41041168720864,-0.9383902429192544,False
COIN,short,MODEL4,2025-11-13 17:30:00,2025-11-13 18:05:00,284.503088,286.5658779139256,-435.24867183830133,-0.9734144046617009,False
COIN,short,MODEL4,2025-11-17 17:35:00,2025-11-19 17:15:00,263.84722,266.92294214328064,-436.75254434585133,-0.9832773635588705,False
COIN,long,LP1,2025-12-26 19:05:00,2025-12-26 19:05:00,236.52729599999998,236.25767573545693,-255.0607702577256,-0.8507215410431093,False
GOOGL,long,MODEL4,2025-09-09 18:15:00,2025-09-09 22:55:00,239.8874679,239.59207199999997,-45.49096860000259,-0.10188076734837699,False
GOOGL,long,MODEL4,2025-09-10 18:30:00,2025-09-10 22:55:00,238.88786802,239.072176,28.38342891999997,0.06357622783207843,True
IBIT,short,LP2,2025-11-04 19:45:00,2025-11-05 16:30:00,56.958605999999996,57.1982433612,-286.366646634004,-0.9547773866828935,False
JPM,long,MODEL4,2025-07-02 16:50:00,2025-07-02 16:50:00,288.0581001,285.91512318023473,-437.1672916321131,-0.9736406262698085,False
JPM,long,MODEL4,2025-08-27 16:55:00,2025-09-02 17:40:00,296.9713824,294.4444005392179,-434.6408800545189,-0.9737349170785462,False
JPM,short,MODEL4,2026-01-15 17:35:00,2026-01-15 17:40:00,309.318124,312.35557953584976,-437.3935971623632,-0.9802174299033113,False
META,short,LP1,2025-06-12 18:10:00,2025-06-12 19:00:00,691.04916252,691.665032599582,-244.5004215940578,-0.8166571087571097,False
META,short,MODEL4,2025-09-03 17:15:00,2025-09-03 17:20:00,736.54946064,710.6495655651363,893.4358146675773,2.057836547228041,True
MSFT,long,LP2,2026-01-21 21:45:00,2026-01-21 22:00:00,444.11880599999995,444.1187882352477,-0.0034818914452898753,-1.1662848475393395e-05,False
MU,short,LP1,2025-09-15 18:05:00,2025-09-15 19:15:00,157.63026764,157.63026133478928,0.010157694466670364,3.38635211522798e-05,True
NVDA,short,LP2,2025-11-04 21:40:00,2025-11-04 22:05:00,198.97019799999998,199.41007203959998,-274.9212747499996,-0.9171609069148592,False
SNOW,long,LP2,2025-07-30 17:45:00,2025-07-30 18:30:00,226.99539,226.04930933971966,-285.7163594046597,-0.9540356435669238,False
SNOW,short,LP2,2025-08-27 18:20:00,2025-08-27 18:30:00,225.80482999999998,223.14686518505343,802.7053741138589,2.681666037381976,True
SNOW,short,LP1,2025-08-27 19:00:00,2025-08-27 19:00:00,200.349922,201.29103391138216,-284.215797237414,-0.9496954922668687,False
SNOW,short,CLP,2025-09-09 18:00:00,2025-09-09 18:35:00,229.4541,226.15206229095594,1010.4540842396231,3.3751813952883554,True
SNOW,short,LP2,2025-10-02 19:30:00,2025-10-02 19:40:00,241.25174,241.80671726468051,-275.8237005462097,-0.9203565339338051,False
TSLA,long,LP1,2025-04-25 17:20:00,2025-04-25 22:55:00,285.02689398,284.823024,-1.630959840000287,-0.00588886153112946,False
TSLA,short,MODEL4,2025-06-03 17:00:00,2025-06-03 17:00:00,344.7930276,372.7135280433314,-418.80750664997066,-0.9977542284257852,False
TSLA,short,MODEL4,2025-07-02 17:00:00,2025-07-02 17:05:00,316.671653,230.13419848646797,1334.4624077664523,3.180399078237439,True
TSLA,short,LP1,2025-07-02 17:30:00,2025-07-02 17:45:00,316.29672800000003,230.13419848646797,889.1505576379245,3.1786572578736974,True
TSLA,short,MODEL4,2025-08-05 16:50:00,2025-08-05 16:50:00,306.85861600000004,334.7715295610114,-418.69370341517026,-0.9980028053792775,False
TSLA,short,LP2,2025-09-15 21:30:00,2025-09-15 22:10:00,406.57866800000005,409.3542761588105,-291.43885667509494,-0.9717067675216317,False
TSLA,short,LP1,2025-09-17 19:15:00,2025-09-17 19:30:00,428.4143,429.1393503627684,-268.2686342243079,-0.8944440666074068,False
TSLA,short,LP1,2025-11-03 20:45:00,2025-11-03 21:05:00,468.436294,466.2309585569569,925.3840247132786,3.090489486883456,True
TSLA,short,LP1,2025-12-17 17:45:00,2025-12-17 19:35:00,468.4063,469.9935547184764,-282.5313398887995,-0.9444196286593527,False
TSM,short,LP2,2025-05-28 18:20:00,2025-05-28 18:20:00,197.33542502,197.774972105004,-275.15647521250037,-0.9176395840295563,False
TSM,long,MODEL4,2025-09-10 16:55:00,2025-09-10 17:20:00,257.90247018,254.95325446412693,-436.483925949218,-0.9826123883075402,False
TSM,long,MODEL4,2025-09-12 17:05:00,2025-09-12 17:05:00,258.25053978,255.3012544502069,-436.4942288093787,-0.9826473028776176,False
TSM,long,MODEL4,2025-09-15 17:00:00,2025-09-15 17:20:00,259.91137188,268.5522952711353,1278.8566618880227,2.8782291545230505,True
TSM,long,LP1,2025-09-15 17:30:00,2025-09-16 16:55:00,259.87156391999997,256.92195438537885,-292.01134392749066,-0.982501441352272,False
TXN,long,LP2,2025-04-02 19:40:00,2025-04-02 19:50:00,168.58050935999998,170.25834152,953.3854375605774,3.182057241112695,True
TXN,short,LP2,2025-08-20 18:00:00,2025-08-20 18:05:00,197.6579605,198.0975720921,-275.19685665459576,-0.9177993174475313,False
TXN,long,LP1,2025-10-29 17:35:00,2025-10-29 17:35:00,158.43588084,158.02503492064355,-278.1426874043243,-0.9284452326956406,False
TXN,short,LP1,2025-10-30 17:00:00,2025-10-30 17:00:00,155.0214895,155.45257379790002,-278.9115407413092,-0.9309344121048618,False
V,short,LP2,2025-05-16 18:45:00,2025-05-16 18:45:00,359.85691422,360.5787592381365,-272.1355718374573,-0.9094508657473934,False
V,long,LP2,2025-11-18 17:15:00,2025-11-18 17:15:00,320.58970512,319.86369515989134,-275.1577748811911,-0.9187270480667568,False
V,short,LP1,2025-11-19 18:20:00,2025-11-19 18:40:00,323.15545598,323.15544305378177,233.9151743546961,0.779950800542621,True
V,short,CLP,2025-11-19 19:05:00,2025-11-20 16:30:00,323.49338838,324.31777967103824,-277.8198650798866,-0.9277862960487704,False
V,short,LP1,2025-12-22 17:25:00,2025-12-23 16:30:00,350.93319931999997,351.44435810291105,-263.7579319821182,-0.8793595155847681,False
