ticker,earnings_date,time_of_day,eps_estimated,eps_actual,eps_surprise_pct,revenue_estimated,revenue_actual,revenue_surprise_pct,source
BIDU,2026-02-26,BMO,2.03,2.08,2.4631,41002446303,45012334932,9.7796,fmp
C,2024-10-15,BMO,1.4,1.4,0.0,45185711169,49414987373,9.3598,fmp
C,2025-01-15,BMO,2.49,3.03,21.6867,19705698401,19597438719,-0.5494,fmp
C,2025-04-15,BMO,2.45,2.86,16.7347,76057678236,72906973014,-4.1425,fmp
C,2025-07-15,BMO,1.88,2.36,25.5319,19956109154,21834314996,9.4117,fmp
C,2025-10-14,BMO,1.12,1.32,17.8571,69145192592,68127415755,-1.4719,fmp
C,2026-01-14,BMO,1.18,0.91,-22.8814,61479319586,64117226680,4.2907,fmp
COIN,2024-10-30,AMC,1.97,2.29,16.2437,93797094485,91981077675,-1.9361,fmp
COIN,2025-02-13,AMC,3.01,3.39,12.6246,68810571181,68466488184,-0.5,fmp
COIN,2025-05-08,AMC,1.61,1.58,-1.8634,48537124649,53379584564,9.9768,fmp
COIN,2025-08-07,AMC,3.99,4.28,7.2682,30194039401,32911167996,8.9989,fmp
COIN,2025-11-06,AMC,3.58,2.89,-19.2737,19985949074,21486129251,7.5062,fmp
COIN,2026-02-12,AMC,2.96,3.02,2.027,67127750183,63850134811,-4.8827,fmp
COST,2024-12-12,AMC,4.63,5.57,20.3024,94198350373,91385933071,-2.9856,fmp
COST,2025-03-06,AMC,3.23,3.78,17.0279,30873080170,32130370122,4.0724,fmp
COST,2025-06-05,AMC,4.44,5.3,19.3694,30078470655,30778690769,2.328,fmp
COST,2025-09-25,AMC,4.81,3.5,-27.2349,45239698394,44855252957,-0.8498,fmp
COST,2025-12-11,AMC,3.01,3.03,0.6645,29885749931,31714298670,6.1185,fmp
COST,2026-03-05,AMC,4.1,4.15,1.2195,12148166707,13149976925,8.2466,fmp
GOOGL,2024-10-29,AMC,2.36,2.95,25.0,60338408817,58661849883,-2.7786,fmp
GOOGL,2025-02-04,AMC,1.19,1.51,26.8908,80631618964,87010014411,7.9105,fmp
GOOGL,2025-04-24,AMC,2.35,2.54,8.0851,14765394059,15754932915,6.7017,fmp
GOOGL,2025-07-29,AMC,2.33,2.77,18.8841,19682567142,21443805614,8.9482,fmp
GOOGL,2025-10-28,AMC,2.3,2.15,-6.5217,88734539443,84627723432,-4.6282,fmp
GOOGL,2026-02-03,AMC,2.1,2.69,28.0952,81212338199,87677620304,7.961,fmp
GS,2024-10-15,BMO,13.11,16.23,23.7986,15269084508,16503208530,8.0825,fmp
GS,2025-01-15,BMO,13.59,16.94,24.6505,48728807294,48523104974,-0.4221,fmp
GS,2025-04-14,BMO,12.95,13.17,1.6988,23347329891,23329569406,-0.0761,fmp
GS,2025-07-14,BMO,13.64,10.65,-21.9208,65940765168,66596991682,0.9952,fmp
GS,2025-10-15,BMO,14.81,18.99,28.2242,15957466426,17482363380,9.556,fmp
GS,2026-01-14,BMO,6.79,5.28,-22.2386,15298241985,15530539116,1.5185,fmp
JPM,2024-10-11,BMO,5.19,6.15,18.4971,53585190669,54002046747,0.7779,fmp
JPM,2025-01-15,BMO,4.73,5.75,21.5645,5160671431,5619126257,8.8836,fmp
JPM,2025-04-11,BMO,4.62,4.66,0.8658,68709707921,69028055167,0.4633,fmp
JPM,2025-07-15,BMO,3.21,3.19,-0.6231,34821986281,37510323431,7.7202,fmp
JPM,2025-10-14,BMO,5.16,5.67,9.8837,43797326319,44251069162,1.036,fmp
JPM,2026-01-14,BMO,3.89,4.4,13.1105,94334548719,99201993689,5.1598,fmp
MARA,2024-11-12,AMC,0.85,0.84,-1.1765,57054035248,54204807560,-4.9939,fmp
MARA,2025-02-25,AMC,-0.07,-0.08,-14.2857,67197034252,68524056641,1.9748,fmp
MARA,2025-05-06,AMC,0.16,0.18,12.5,90612178454,96901000174,6.9404,fmp
MARA,2025-08-07,AMC,-0.25,-0.29,-16.0,65129381298,65147502787,0.0278,fmp
MARA,2025-11-06,AMC,0.73,0.74,1.3699,26340863270,25810608256,-2.0131,fmp
MARA,2026-02-25,AMC,-0.46,-0.53,-15.2174,85725080989,82375307816,-3.9076,fmp
META,2024-10-30,AMC,4.66,4.6,-1.2876,71153653797,72872482396,2.4157,fmp
META,2025-01-29,AMC,3.98,3.9,-2.0101,76341625279,81342530651,6.5507,fmp
META,2025-04-30,AMC,3.43,3.64,6.1224,96006774017,98665553221,2.7694,fmp
META,2025-07-30,AMC,3.2,4.02,25.625,48363873420,51759621411,7.0212,fmp
META,2025-10-29,AMC,5.67,4.95,-12.6984,95253762802,103227825716,8.3714,fmp
META,2026-01-28,AMC,5.45,5.45,0.0,83904071124,86604170634,3.2181,fmp
MSFT,2024-10-30,AMC,3.79,3.79,0.0,29623197104,29240641970,-1.2914,fmp
MSFT,2025-01-29,AMC,3.28,3.28,0.0,64541101513,63972469692,-0.881,fmp
MSFT,2025-04-30,AMC,2.15,2.34,8.8372,35372409000,36469761351,3.1023,fmp
MSFT,2025-07-29,AMC,2.28,2.76,21.0526,72109818461,69199057153,-4.0366,fmp
MSFT,2025-10-28,AMC,2.82,3.19,13.1206,24649267004,24970238116,1.3022,fmp
MSFT,2026-01-27,AMC,3.81,4.62,21.2598,86389543069,91990970757,6.4839,fmp
MU,2024-12-18,AMC,1.26,1.4,11.1111,76580136881,82554704168,7.8017,fmp
MU,2025-03-19,AMC,2.41,2.96,22.8216,56882569425,59185624544,4.0488,fmp
MU,2025-06-25,AMC,0.94,1.07,13.8298,7757357895,7760611576,0.0419,fmp
MU,2025-09-24,AMC,1.86,1.97,5.914,49402064177,47877722463,-3.0856,fmp
MU,2025-12-17,AMC,1.74,1.96,12.6437,58617238387,55924673534,-4.5935,fmp
MU,2026-03-18,AMC,1.79,2.05,14.5251,9777040181,9844165229,0.6866,fmp
NVDA,2024-11-20,AMC,0.71,0.87,22.5352,41016990479,43592917921,6.2801,fmp
NVDA,2025-02-26,AMC,1.33,1.37,3.0075,6841412270,7052899870,3.0913,fmp
NVDA,2025-05-28,AMC,1.5,1.8,20.0,79217139713,83000803665,4.7763,fmp
NVDA,2025-08-27,AMC,1.25,0.95,-24.0,6936101645,6747837479,-2.7143,fmp
NVDA,2025-11-19,AMC,0.63,0.63,0.0,25706631386,27118433044,5.492,fmp
NVDA,2026-02-26,AMC,1.27,1.51,18.8976,76052936936,73556874276,-3.282,fmp
PLTR,2024-11-04,AMC,0.13,0.1,-23.0769,7439450422,7415596469,-0.3206,fmp
PLTR,2025-02-03,AMC,0.12,0.1,-16.6667,72926396980,70111399528,-3.8601,fmp
PLTR,2025-05-05,AMC,0.12,0.12,0.0,78385684070,84464022447,7.7544,fmp
PLTR,2025-08-04,AMC,0.11,0.14,27.2727,79350357904,79515451465,0.2081,fmp
PLTR,2025-11-03,AMC,0.09,0.1,11.1111,37416961612,40314394325,7.7436,fmp
PLTR,2026-02-09,AMC,0.13,0.17,30.7692,65380585080,70238761154,7.4306,fmp
SNOW,2024-11-20,AMC,-0.02,-0.02,0.0,96720004468,95802359832,-0.9488,fmp
SNOW,2025-02-26,AMC,0.02,0.02,0.0,46379576835,49146300964,5.9654,fmp
SNOW,2025-05-21,AMC,-0.19,-0.18,5.2632,13232975315,14321317103,8.2245,fmp
SNOW,2025-08-20,AMC,-0.2,-0.24,-20.0,41003983892,39130306834,-4.5695,fmp
SNOW,2025-11-19,AMC,0.04,0.04,0.0,80794073899,80878974451,0.1051,fmp
SNOW,2026-02-25,AMC,0.05,0.05,0.0,5964355872,6514325469,9.2209,fmp
TSLA,2024-10-23,AMC,0.36,0.36,0.0,77025642081,81153554147,5.3591,fmp
TSLA,2025-01-29,AMC,0.75,0.93,24.0,13840068303,13608101286,-1.6761,fmp
TSLA,2025-04-22,AMC,0.78,0.92,17.9487,49959746432,51440467869,2.9638,fmp
TSLA,2025-07-22,AMC,0.6,0.6,0.0,71771219508,71099258885,-0.9363,fmp
TSLA,2025-10-21,AMC,0.48,0.51,6.25,16357700419,16854640730,3.038,fmp
TSLA,2026-01-27,AMC,0.83,0.89,7.2289,50998865785,53991874479,5.8688,fmp
TSM,2025-01-16,AMC,2.95,3.22,9.1525,14549980269,14246142295,-2.0882,fmp
TSM,2025-04-17,AMC,1.45,1.47,1.3793,55742833480,55249325398,-0.8853,fmp
TSM,2025-07-17,AMC,2.95,3.58,21.3559,16996551831,18360851102,8.0269,fmp
TSM,2025-10-16,AMC,1.98,1.72,-13.1313,49592709768,50389680470,1.607,fmp
TSM,2026-01-15,AMC,1.37,1.76,28.4672,50384272790,54078313991,7.3317,fmp
TXN,2024-10-22,AMC,1.6,1.91,19.375,10092862058,9814093551,-2.762,fmp
TXN,2025-01-23,AMC,1.84,2.39,29.8913,16252898410,17303916738,6.4667,fmp
TXN,2025-04-22,AMC,1.91,1.89,-1.0471,54644390837,55604884570,1.7577,fmp
TXN,2025-07-22,AMC,1.66,1.64,-1.2048,34011123210,35478842560,4.3154,fmp
TXN,2025-10-21,AMC,1.91,1.94,1.5707,24739851053,24285968285,-1.8346,fmp
TXN,2026-01-27,AMC,1.99,2.11,6.0302,12131162546,11529473363,-4.9599,fmp
V,2024-10-29,AMC,2.68,2.93,9.3284,26990242283,28502866539,5.6043,fmp
V,2025-01-30,AMC,3.05,3.69,20.9836,92771549226,99096175748,6.8174,fmp
V,2025-04-29,AMC,2.94,2.99,1.7007,45388201780,46826297760,3.1684,fmp
V,2025-07-29,AMC,2.97,2.79,-6.0606,11783934501,11488021268,-2.5112,fmp
V,2025-10-28,AMC,2.46,2.47,0.4065,32418005889,31401800238,-3.1347,fmp
V,2026-01-29,AMC,3.03,3.08,1.6502,52544856826,53809573850,2.4069,fmp
